time_id,r_bist,r_garan,r_ereg,r_ansgr,r_toaso,r_vestl,r_usd
322,2.8359,2.9240,3.1469,-0.6623,0.3056,5.3950,-1.1354
323,4.4889,2.1307,9.1525,2.6667,11.7002,3.1079,-0.2436
324,-1.9133,1.2517,0.3106,0.0000,-0.3273,-2.6596,0.1744
325,1.2328,1.3736,6.8111,0.0000,2.0252,9.4718,-1.3930
326,0.1732,1.6260,5.5072,-0.6494,-2.2532,9.6506,0.5298
327,3.7225,3.7333,5.7692,1.3072,6.6411,2.7314,0.2459
328,0.2985,-0.7712,3.6364,3.8710,3.9115,-3.2496,-0.6308
329,-0.5836,3.7565,-5.2632,-1.2422,-7.4789,10.5344,-1.5165
330,-8.1565,-13.4831,0.2646,-1.2579,1.4989,-13.9503,4.4047
331,-0.7141,0.7215,-6.8602,0.0000,-0.9494,-0.9631,1.7150
332,-1.8644,-3.5817,1.4164,-0.6369,0.0000,0.4862,0.3709
333,2.1886,4.0119,0.0000,0.6410,-0.6390,2.9032,-0.9407
334,0.1417,0.5714,-1.9553,-1.2739,5.5734,0.7837,-1.0514
335,-1.6025,-0.7102,0.5698,0.0000,1.9797,-0.1555,-0.1714
336,-1.8947,-0.4292,-2.8329,-0.6452,-5.8736,-2.9595,0.4807
337,-0.0855,0.4310,-0.2915,0.6494,0.7932,0.8026,-0.3075
338,3.4314,2.1459,7.0175,0.6452,11.1752,3.8217,-1.0968
339,0.0864,1.6807,0.2732,0.0000,-2.7843,2.1472,0.7971
340,6.1598,7.7135,12.2616,0.0000,0.9709,5.8559,-0.6876
341,-13.3859,-15.9847,-11.4078,-1.9231,-6.7308,-17.0213,5.7815
342,5.1118,3.6530,7.9452,0.6536,2.6289,8.7179,-2.0946
343,0.8755,3.8179,6.0914,-0.6494,-1.3561,21.0692,0.7688
344,2.8434,2.5460,2.6316,0.0000,1.0183,-4.5455,-2.0899
345,-0.1061,1.2414,-0.9324,0.0000,-0.4032,-1.0884,-0.7454
